300 768
0 1 100
0 59 17
0 118 39
0 239 45
1 2 100
1 83 28
1 109 26
1 143 31
2 3 100
2 182 1
2 215 7
2 274 32
3 4 100
4 5 100
5 6 100
5 38 6
5 47 20
5 299 11
6 7 100
6 88 32
6 251 31
7 8 100
7 87 38
7 148 48
8 9 100
8 230 20
8 267 14
9 10 100
9 242 46
10 11 100
11 12 100
11 57 33
11 157 5
11 267 18
12 13 100
13 14 100
14 15 100
14 18 12
15 16 100
15 79 27
15 112 38
15 270 42
16 11 22
16 17 100
16 200 27
17 18 100
17 85 37
17 191 18
17 279 36
18 19 100
18 49 22
18 264 41
19 20 100
19 68 44
20 21 100
20 206 47
21 22 100
21 131 46
21 197 43
22 23 100
22 244 34
23 24 100
23 44 44
23 144 11
23 285 46
24 25 100
24 84 39
24 129 31
25 26 100
25 134 12
26 27 100
27 28 100
27 166 21
28 29 100
29 30 7
29 148 38
29 295 46
30 31 100
30 110 15
30 114 37
31 32 100
32 33 100
32 73 8
32 219 7
33 15 26
33 22 47
33 34 100
33 49 37
34 35 100
35 36 100
36 37 100
36 219 33
36 227 5
36 290 32
37 38 100
38 23 4
38 39 100
38 61 23
39 15 8
39 40 100
39 171 38
39 299 11
40 16 43
40 21 1
40 37 49
40 41 100
41 42 100
41 48 20
41 178 9
41 273 41
42 43 100
42 165 29
43 44 100
43 206 5
44 45 100
44 227 15
44 297 29
45 10 37
45 46 100
45 224 31
45 249 46
46 47 100
46 223 45
46 249 48
46 295 33
47 48 100
47 49 41
48 23 32
48 49 100
48 68 35
48 74 31
49 50 100
49 98 12
50 51 100
51 52 100
51 67 32
51 153 48
52 53 100
52 163 36
53 54 100
54 55 100
54 177 47
55 56 100
55 100 42
56 0 17
56 57 100
57 58 100
57 202 24
57 249 12
58 59 100
58 91 35
59 60 100
60 12 21
60 61 100
60 208 34
61 62 100
61 104 10
61 182 31
62 60 46
62 63 100
62 98 37
63 64 100
63 159 5
63 195 13
64 65 100
64 263 34
65 66 100
66 67 100
67 68 100
67 173 30
68 69 100
68 86 39
69 56 49
69 70 100
70 71 100
71 72 100
71 99 10
71 130 47
71 275 38
72 36 34
72 73 100
72 115 38
73 61 39
73 74 100
73 164 15
73 274 43
74 48 14
74 75 100
